condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,danger_rate_pct,deaths,total_shelter,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_presence,final_collapse_index,final_closure_depth,ms_per_step,elapsed_s
no-sleep,sleep,10,5000,244,4.88,20,0.4,0,45,0,26,0.588856144038997,0.6666666666666666,0.9996556341648102,0.9630065135465293,0.9361630905529065,2,6.748940706253052,33.74470353126526
no-sleep,sleep,11,5000,231,4.62,35,0.7000000000000001,0,27,0,30,0.5619423185180377,0.7333333333333333,0.9999278783798218,0.9681842096249453,0.9124154227248953,3,6.668161058425904,33.34080529212952
no-sleep,sleep,14,5000,209,4.18,29,0.58,0,22,0,30,0.5683978989299053,0.782608695652174,0.9987629055976868,0.9682893621241769,0.9184141724931938,2,6.562644290924072,32.81322145462036
no-sleep,sleep,12,5000,229,4.58,37,0.74,0,27,0,28,0.5618495811647068,0.953125,0.99864661693573,0.9689610330528965,0.8915051903107133,2,6.700032711029053,33.500163555145264
no-sleep,sleep,13,5000,237,4.74,66,1.32,0,13,0,14,0.5380996395953492,1.0,0.9995767176151276,0.9665060005468807,0.9481169831104714,3,6.72069673538208,33.6034836769104
no-sleep,sleep,16,5000,232,4.64,41,0.8200000000000001,0,20,0,14,0.5780333481371942,0.8846153846153846,0.99974524974823,0.9641792081557053,0.9334747473441329,2,6.736105060577392,33.68052530288696
no-sleep,sleep,15,5000,267,5.34,29,0.58,0,11,0,25,0.5700339308134069,0.8636363636363636,0.9996992647647858,0.9633153493450153,0.92366561331762,2,6.946346759796143,34.73173379898071
no-sleep,sleep,17,5000,242,4.84,47,0.9400000000000001,0,31,0,18,0.5803896402417476,0.8983050847457628,0.9991725385189056,0.9651260832491044,0.9157515939450307,2,6.784078550338745,33.920392751693726
no-sleep,sleep,18,5000,184,3.6799999999999997,48,0.96,1,416,0,29,0.5642388842968166,0.9666666666666667,0.9994449615478516,0.9693013861442978,0.914558398586415,3,6.496001291275024,32.48000645637512
no-sleep,sleep,19,5000,204,4.08,35,0.7000000000000001,0,11,0,16,0.6036930086140223,0.918918918918919,0.9989598095417023,0.9676187021987884,0.9350871263539431,3,6.222499227523803,31.11249613761902
no-sleep,sleep,20,5000,232,4.64,52,1.04,0,32,0,19,0.6069152916960038,0.7368421052631579,0.999203622341156,0.9674120814720334,0.9290598174628342,2,6.475129795074463,32.375648975372314
no-sleep,sleep,21,5000,242,4.84,45,0.8999999999999999,0,25,0,25,0.5386936878529112,0.7777777777777778,0.9992545247077942,0.9693637129450123,0.927948083850993,3,6.476457834243774,32.38228917121887
no-sleep,sleep,22,5000,240,4.8,28,0.5599999999999999,0,29,0,22,0.5691662794163468,0.8,0.9994445145130157,0.9630296322146075,0.9321235702500685,2,6.453990507125854,32.26995253562927
no-sleep,sleep,23,5000,250,5.0,30,0.6,0,3,0,28,0.6150811735766281,0.6666666666666666,0.9999820291996002,0.9651849257881343,0.9284779914547183,3,6.495483493804931,32.47741746902466
no-sleep,sleep,27,5000,200,4.0,47,0.9400000000000001,0,11,0,22,0.5350438614040628,0.8679245283018868,0.9983740448951721,0.9614168854673418,0.909597698668811,3,6.273111486434937,31.365557432174683
no-sleep,sleep,24,5000,249,4.9799999999999995,33,0.66,0,28,0,31,0.607806191159884,0.96875,0.9999304711818695,0.9632890989026421,0.9101545187683192,2,6.502471303939819,32.5123565196991
no-sleep,sleep,26,5000,233,4.66,41,0.8200000000000001,0,22,0,28,0.6115012544565332,0.78125,0.9987980127334595,0.9748805390355332,0.9346231041940751,2,6.374191999435425,31.870959997177124
no-sleep,sleep,25,5000,256,5.12,43,0.86,0,6,0,20,0.5565991487511414,0.8378378378378378,0.9997070729732513,0.9635996950764901,0.9202284048508815,2,6.549516773223877,32.747583866119385
no-sleep,sleep,29,5000,228,4.5600000000000005,26,0.52,0,35,0,26,0.5275365813772729,0.9545454545454546,0.9989022016525269,0.9643399943438179,0.9367324095891303,3,6.334219646453858,31.671098232269287
no-sleep,sleep,28,5000,259,5.18,20,0.4,0,14,0,29,0.5600080117193929,0.8823529411764706,0.99972003698349,0.9620738807736287,0.92379894896754,3,6.5973176002502445,32.98658800125122
no-sleep,sleep,30,5000,244,4.88,33,0.66,0,35,0,29,0.551284035164496,0.8571428571428571,0.9990186989307404,0.9651782537671222,0.9177201038491796,2,6.480586099624634,32.40293049812317
no-insect-brain,insect_brain,1,5000,261,5.220000000000001,47,0.9400000000000001,0,18,1208,22,0.557654683078199,0.6842105263157895,0.998987227678299,0.9667821900687215,0.9039028593743814,2,4.516094064712524,22.580470323562622
no-insect-brain,insect_brain,2,5000,242,4.84,41,0.8200000000000001,0,21,1208,12,0.5531317929872143,0.9,0.9995779395103455,0.9701166952152326,0.9015172175082584,2,4.545122528076172,22.72561264038086
no-insect-brain,insect_brain,3,5000,239,4.78,37,0.74,0,12,1208,20,0.584773375385744,0.8541666666666666,0.9996045231819153,0.9633969116373126,0.8877240443508694,2,4.4714117527008055,22.35705876350403
no-insect-brain,insect_brain,4,5000,246,4.92,28,0.5599999999999999,0,30,1208,24,0.599749811007966,0.8846153846153846,0.999935120344162,0.9682542282070778,0.8855800024797441,1,4.466418313980102,22.332091569900513
no-insect-brain,insect_brain,5,5000,243,4.859999999999999,49,0.98,0,13,1208,22,0.5643470273740618,0.8461538461538461,0.9996249973773956,0.9652866329151438,0.881426175779283,3,4.488276863098145,22.441384315490723
no-insect-brain,insect_brain,6,5000,257,5.140000000000001,40,0.8,0,46,1208,17,0.5808521221571868,0.8636363636363636,0.9992404878139496,0.9660966454090794,0.9037813121096643,2,4.408466625213623,22.042333126068115
no-insect-brain,insect_brain,7,5000,228,4.5600000000000005,56,1.1199999999999999,0,18,1208,20,0.5811677740159544,0.5555555555555556,0.999951183795929,0.9717497826656136,0.8699943491958906,3,4.442290258407593,22.211451292037964
no-insect-brain,insect_brain,8,5000,225,4.5,51,1.02,0,38,1208,19,0.5392281976277961,0.9230769230769231,0.998436838388443,0.9654716385018046,0.8890812994354386,1,4.460158157348633,22.300790786743164
no-insect-brain,insect_brain,9,5000,236,4.72,27,0.54,0,11,1208,26,0.6140516635132549,0.9555555555555556,0.9997292160987854,0.9634908121253719,0.9085302850267027,3,4.455484342575073,22.277421712875366
no-insect-brain,insect_brain,10,5000,291,5.82,34,0.6799999999999999,0,46,1208,22,0.6101065474281587,0.8181818181818182,0.9995939433574677,0.9660222940680224,0.89974119089924,2,4.433752489089966,22.16876244544983
no-insect-brain,insect_brain,11,5000,244,4.88,31,0.62,0,26,1208,18,0.5260279556466338,0.75,0.9995891153812408,0.956962814543999,0.8925797025521448,3,4.456183290481567,22.280916452407837
no-insect-brain,insect_brain,12,5000,228,4.5600000000000005,26,0.52,0,25,1208,26,0.5790610207448029,0.8928571428571429,0.9983433783054352,0.9648480455205598,0.8922604512308054,1,4.429287004470825,22.146435022354126
no-insect-brain,insect_brain,13,5000,246,4.92,37,0.74,0,28,1208,15,0.6253246487866191,0.6666666666666666,0.999201089143753,0.9635924613634538,0.9120110822193062,3,4.330697774887085,21.653488874435425
no-insect-brain,insect_brain,14,5000,227,4.54,30,0.6,0,23,1208,13,0.5137616919093659,0.9230769230769231,0.9995443522930145,0.9703315534195533,0.8915811678301684,3,4.325522518157959,21.627612590789795
no-insect-brain,insect_brain,15,5000,264,5.28,27,0.54,0,9,1208,23,0.6112871102481126,0.9166666666666666,0.9989811480045319,0.9660526357108227,0.8998986742020845,3,4.374953651428223,21.874768257141113
no-insect-brain,insect_brain,16,5000,256,5.12,61,1.22,0,28,1208,23,0.5928120786527108,0.9230769230769231,0.9992124736309052,0.9722646231719415,0.9010488300397879,2,4.244751882553101,21.223759412765503
no-insect-brain,insect_brain,17,5000,241,4.82,50,1.0,0,26,1208,16,0.5972153609461577,0.76,0.9992777109146118,0.9638466312525837,0.9107285443873213,2,4.343705463409424,21.71852731704712
no-insect-brain,insect_brain,18,5000,222,4.44,34,0.6799999999999999,0,10,1208,24,0.6064129777884809,0.9285714285714286,0.9999327957630157,0.9649047130340926,0.900813951932656,3,4.368071508407593,21.840357542037964
no-insect-brain,insect_brain,19,5000,230,4.6,38,0.76,0,22,1208,22,0.5583731990676348,0.0,0.9999766647815704,0.9686687309372319,0.897393555548327,3,4.373508024215698,21.86754012107849
no-insect-brain,insect_brain,20,5000,246,4.92,35,0.7000000000000001,0,25,1208,21,0.6024370393141911,0.86,0.9995538890361786,0.9620631272883808,0.9110333047792422,3,4.368099021911621,21.840495109558105
no-insect-brain,insect_brain,21,5000,228,4.5600000000000005,31,0.62,0,12,1208,13,0.5652534514683306,0.88,0.9984929859638214,0.9659368775763679,0.9168964553944998,2,4.3960367202758786,21.980183601379395
no-insect-brain,insect_brain,22,5000,269,5.38,28,0.5599999999999999,0,25,1208,24,0.5981646021020639,0.8571428571428571,0.9988943934440613,0.9624134225300458,0.8958043431727469,2,4.385056781768799,21.925283908843994
no-insect-brain,insect_brain,23,5000,204,4.08,37,0.74,0,7,1208,24,0.5844293221311017,0.8157894736842105,0.9991323947906494,0.9654600542235683,0.8969512075843936,2,4.429419755935669,22.147098779678345
no-insect-brain,insect_brain,24,5000,267,5.34,35,0.7000000000000001,0,26,1208,25,0.5659130973299058,0.8780487804878049,0.999805212020874,0.9635858575740393,0.889538978614171,3,4.394832134246826,21.97416067123413
no-insect-brain,insect_brain,25,5000,225,4.5,39,0.7799999999999999,0,16,1208,11,0.5400464321690853,0.8888888888888888,0.9997437596321106,0.9658268861405284,0.8940366480648443,2,4.283328342437744,21.41664171218872
no-insect-brain,insect_brain,26,5000,247,4.9399999999999995,50,1.0,0,44,1208,25,0.5934605218780095,0.9473684210526315,0.9996107816696167,0.9664229377670328,0.8787604288940276,2,4.296925020217896,21.484625101089478
no-insect-brain,insect_brain,28,5000,259,5.18,42,0.84,0,13,1208,20,0.5464816182545504,0.4,0.9993152916431427,0.9660019026615805,0.8853324623755233,2,4.246308946609497,21.231544733047485
no-insect-brain,insect_brain,27,5000,201,4.02,28,0.5599999999999999,0,21,1208,16,0.5529950402069136,0.71875,0.9999878704547882,0.9617492562178865,0.8988060836324236,3,4.329263591766358,21.646317958831787
no-insect-brain,insect_brain,29,5000,229,4.58,37,0.74,0,13,1208,16,0.5379560813004259,0.64,0.9991383850574493,0.9681135519177693,0.9016677480760733,3,4.257570886611939,21.287854433059692
no-insect-brain,insect_brain,30,5000,270,5.4,50,1.0,0,42,1208,19,0.5876970406966023,0.9130434782608695,0.9997318387031555,0.9639119233112358,0.9019885408723916,3,4.294507169723511,21.472535848617554
no-adjacent-food,adjacent_food,2,5000,214,4.279999999999999,45,0.8999999999999999,0,12,1208,13,0.5539337394582597,0.7222222222222222,0.9997033178806305,0.9654845072573757,0.8927046430284448,1,6.319115114212036,31.59557557106018
no-adjacent-food,adjacent_food,1,5000,217,4.34,40,0.8,0,19,1208,19,0.5856093988144084,0.9047619047619048,0.99997878074646,0.9634876657212939,0.905836015248743,3,6.398758792877198,31.993793964385986
no-adjacent-food,adjacent_food,3,5000,215,4.3,53,1.06,0,14,1208,20,0.567580415589546,0.7857142857142857,0.9998448491096497,0.9670300148746165,0.8975639709279184,3,6.413071584701538,32.06535792350769
no-adjacent-food,adjacent_food,4,5000,198,3.9600000000000004,37,0.74,0,18,1208,23,0.5823373465160822,0.55,0.9999040067195892,0.9674499858884952,0.9040219437663816,3,6.308264064788818,31.541320323944092
no-adjacent-food,adjacent_food,5,5000,189,3.7800000000000002,46,0.9199999999999999,0,57,1208,16,0.5236943351086294,0.6956521739130435,0.9992456138134003,0.9619607651040282,0.895123661217423,3,6.2602394104003904,31.301197052001953
no-adjacent-food,adjacent_food,6,5000,227,4.54,61,1.22,0,9,1208,25,0.5576365132747716,0.0,0.9996896088123322,0.9788087409100246,0.8909720902671622,2,6.512195014953614,32.560975074768066
no-adjacent-food,adjacent_food,7,5000,222,4.44,30,0.6,0,33,1208,16,0.5480126529399645,0.8571428571428571,0.9999604225158691,0.9695681062716397,0.8716083731609026,3,6.363850116729736,31.81925058364868
no-adjacent-food,adjacent_food,8,5000,203,4.06,61,1.22,0,38,1208,21,0.5676794885722091,0.7931034482758621,0.998493105173111,0.9661532451852134,0.8993761593969616,1,6.204080581665039,31.020402908325195
no-adjacent-food,adjacent_food,9,5000,219,4.38,38,0.76,0,28,1208,18,0.5998018933488471,0.6470588235294118,0.9993455708026886,0.9635648904340998,0.8714252848149925,3,6.319346237182617,31.596731185913086
no-adjacent-food,adjacent_food,10,5000,216,4.32,26,0.52,0,14,1208,21,0.5715156161209684,0.8108108108108109,0.9992637038230896,0.9655210942329557,0.8931656362779518,3,6.3379518508911135,31.689759254455566
no-adjacent-food,adjacent_food,11,5000,220,4.3999999999999995,27,0.54,0,24,1208,22,0.5642774878453609,1.0,0.9992163479328156,0.9700513430215097,0.8907333695441049,3,6.355645227432251,31.778226137161255
no-adjacent-food,adjacent_food,12,5000,212,4.24,35,0.7000000000000001,0,32,1208,15,0.5869158350355259,0.9285714285714286,0.999834418296814,0.9617989311287971,0.8618526202156843,3,6.393500471115113,31.96750235557556
no-adjacent-food,adjacent_food,13,5000,178,3.56,72,1.44,0,11,1208,25,0.6116524362320118,0.9444444444444444,0.9999718368053436,0.9713673589414213,0.8920901427002594,3,6.008913516998291,30.044567584991455
no-adjacent-food,adjacent_food,14,5000,196,3.92,31,0.62,0,36,1208,15,0.5717461851723024,0.9375,0.9992116391658783,0.9674753808962016,0.8950487656805306,1,6.080448865890503,30.402244329452515
no-adjacent-food,adjacent_food,15,5000,208,4.16,23,0.45999999999999996,0,5,1208,21,0.5730233626080101,0.9375,0.9990437030792236,0.964119963513799,0.8892474294729554,3,6.2057812213897705,31.028906106948853
no-adjacent-food,adjacent_food,16,5000,189,3.7800000000000002,49,0.98,0,21,1208,12,0.5603583273943844,0.5,0.9986894726753235,0.9693192651372304,0.8934881214961564,2,6.1305173397064205,30.652586698532104
no-adjacent-food,adjacent_food,17,5000,188,3.7600000000000002,64,1.28,0,9,1208,23,0.5817423801163297,0.7222222222222222,0.9997455775737762,0.9691095461178061,0.8878786689113872,3,6.000290441513061,30.001452207565308
no-adjacent-food,adjacent_food,18,5000,197,3.94,44,0.88,0,10,1208,21,0.6135042753027536,0.8157894736842105,0.9997610151767731,0.9629533296257661,0.9037047119370328,3,6.11663236618042,30.5831618309021
no-adjacent-food,adjacent_food,19,5000,197,3.94,40,0.8,0,14,1208,22,0.584380171863027,1.0,0.9995212554931641,0.9653776520629119,0.877006713483869,3,6.033859920501709,30.169299602508545
no-adjacent-food,adjacent_food,20,5000,230,4.6,42,0.84,0,17,1208,18,0.604181993525498,0.896551724137931,0.9995422065258026,0.9620618246134607,0.9078033783134435,3,6.281837129592896,31.409185647964478
no-adjacent-food,adjacent_food,22,5000,194,3.88,32,0.64,0,19,1208,24,0.589310463781849,0.6153846153846154,0.9998832643032074,0.9736433147513324,0.8903684162952061,1,6.039538145065308,30.197690725326538
no-adjacent-food,adjacent_food,21,5000,215,4.3,55,1.0999999999999999,0,11,1208,18,0.5536865517895643,0.9210526315789473,0.9988152384757996,0.9669997484250062,0.8805311011857028,3,6.205886507034302,31.02943253517151
no-adjacent-food,adjacent_food,23,5000,207,4.14,53,1.06,0,40,1208,30,0.5895389279622971,0.6923076923076923,0.9998321533203125,0.9652499566425712,0.8925489875884827,3,6.091143226623535,30.455716133117676
no-adjacent-food,adjacent_food,24,5000,228,4.5600000000000005,40,0.8,0,57,1208,23,0.583081946595818,0.9245283018867925,0.9997784793376923,0.9610410988466009,0.8097053906224487,3,6.2807845115661625,31.40392255783081
no-adjacent-food,adjacent_food,25,5000,189,3.7800000000000002,42,0.84,0,24,1208,18,0.5682948740182854,0.8947368421052632,0.9987755119800568,0.9648020631482916,0.8809309959897259,1,5.995135927200318,29.975679636001587
no-adjacent-food,adjacent_food,26,5000,221,4.42,36,0.72,0,30,1208,21,0.5091648566105837,1.0,0.9996637105941772,0.9669878459085454,0.8924438604786435,2,6.059380388259887,30.29690194129944
no-adjacent-food,adjacent_food,27,5000,204,4.08,37,0.74,0,43,1208,22,0.5915738266172275,0.6923076923076923,0.9992502629756927,0.9675072133564118,0.8907163688130876,3,6.057247257232666,30.28623628616333
no-adjacent-food,adjacent_food,29,5000,181,3.62,28,0.5599999999999999,0,18,1208,22,0.5247942811106004,0.8125,0.999812513589859,0.9659329237231635,0.8715324198570215,3,5.943239688873291,29.716198444366455
no-adjacent-food,adjacent_food,28,5000,208,4.16,38,0.76,0,20,1208,20,0.5845477432641764,0.95,0.9992282092571259,0.9686538467193193,0.891164823791414,3,6.178783321380616,30.893916606903076
no-adjacent-food,adjacent_food,30,5000,206,4.12,39,0.7799999999999999,0,23,1208,27,0.6004106746560256,0.88,0.9999581277370453,0.9661924145545284,0.8872002388415378,3,6.1212256908416744,30.606128454208374
no-mushroom,mushroom,1,5000,252,5.04,40,0.8,0,20,1208,18,0.5787886350925859,0.6363636363636364,0.9992435276508331,0.9686386055141354,0.8973685896227712,3,6.23019847869873,31.150992393493652
no-mushroom,mushroom,2,5000,244,4.88,36,0.72,0,14,1208,20,0.5424515826448897,0.9666666666666667,0.9992946982383728,0.96457097192262,0.9004044945817881,1,6.267373657226562,31.336868286132812
no-mushroom,mushroom,3,5000,239,4.78,59,1.18,0,43,1208,29,0.551637620608292,0.45454545454545453,0.9987497627735138,0.962495762982456,0.8827543805305068,3,6.180938243865967,30.904691219329834
no-mushroom,mushroom,5,5000,214,4.279999999999999,56,1.1199999999999999,0,48,1208,14,0.5513361770724519,0.7428571428571429,0.9994756579399109,0.9692999731308952,0.8970547148159267,3,6.077856159210205,30.389280796051025
no-mushroom,mushroom,4,5000,228,4.5600000000000005,33,0.66,0,12,1208,23,0.5579564465744915,0.8636363636363636,0.9997057616710663,0.9652752756925437,0.9069218886711254,3,6.233475112915039,31.167375564575195
no-mushroom,mushroom,6,5000,237,4.74,44,0.88,0,19,1208,31,0.5682094913691821,0.8421052631578947,0.999735414981842,0.9663064926867039,0.8891521802790936,3,6.236684417724609,31.183422088623047
no-mushroom,mushroom,7,5000,227,4.54,52,1.04,0,21,1208,30,0.614889983417441,0.75,0.9996472299098969,0.9701237439231998,0.8744554458706159,3,6.195387458801269,30.976937294006348
no-mushroom,mushroom,8,5000,232,4.64,54,1.08,0,21,1208,13,0.5263326493579124,0.6875,0.9998163282871246,0.967547352283365,0.9147692974031325,3,6.1416465759277346,30.708232879638672
no-mushroom,mushroom,9,5000,222,4.44,47,0.9400000000000001,0,25,1208,23,0.5841355042407219,0.7727272727272727,0.9997848868370056,0.9743185762202347,0.8996737685340884,3,6.176735067367554,30.88367533683777
no-mushroom,mushroom,10,5000,249,4.9799999999999995,21,0.42,0,27,1208,23,0.5906689269019565,0.90625,0.9992865920066833,0.9719692870085832,0.9002378584249953,3,6.210380268096924,31.05190134048462
no-mushroom,mushroom,11,5000,276,5.52,35,0.7000000000000001,0,29,1208,13,0.5387305466529376,0.7741935483870968,0.9994038641452789,0.9436704493989359,0.8880468932615172,3,6.33590145111084,31.6795072555542
no-mushroom,mushroom,12,5000,247,4.9399999999999995,39,0.7799999999999999,0,16,1208,21,0.5241784566304173,0.9411764705882353,0.9997179806232452,0.9643002570099333,0.9041736933493054,3,6.348296499252319,31.741482496261597
no-mushroom,mushroom,13,5000,221,4.42,48,0.96,0,25,1208,21,0.5933282098133965,0.875,0.9999728500843048,0.9653182428363222,0.8994026633862662,2,6.106460285186768,30.532301425933838
no-mushroom,mushroom,14,5000,222,4.44,30,0.6,0,15,1208,11,0.5749439251832793,0.47058823529411764,0.9998389780521393,0.9662837680702601,0.9070444608201145,2,6.083805656433105,30.419028282165527
no-mushroom,mushroom,15,5000,208,4.16,40,0.8,0,20,1208,13,0.5680831472810552,0.9629629629629629,0.9987296164035797,0.9627117836285204,0.9008602519463712,2,6.143521785736084,30.71760892868042
no-mushroom,mushroom,17,5000,243,4.859999999999999,41,0.8200000000000001,0,8,1208,23,0.6026121047785349,0.9230769230769231,0.9990997612476349,0.9634337348149795,0.8816673149689026,3,6.193657445907593,30.968287229537964
no-mushroom,mushroom,16,5000,248,4.96,46,0.9199999999999999,0,13,1208,30,0.5933934520086379,0.875,0.9987398386001587,0.9698405828471761,0.9120320170947107,2,6.273309850692749,31.366549253463745
no-mushroom,mushroom,18,5000,238,4.760000000000001,33,0.66,0,38,1208,22,0.607438959297239,0.6,0.999427855014801,0.9635170761172468,0.9005319621762126,2,6.278457069396973,31.392285346984863
no-mushroom,mushroom,19,5000,218,4.36,41,0.8200000000000001,0,25,1208,30,0.5685371150664006,0.92,0.9998528361320496,0.966981182722205,0.897990121311782,3,6.163249969482422,30.81624984741211
